板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,深圳市盐田港股份有限公司,广东省深圳市盐田区盐田港海港大厦18-19层,88,盐 田 港,1997/7/28,2249161747,2249161747,华南,广东,深圳市,运输仓储
主板,深圳市机场股份有限公司,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,89,深圳机场,1998/4/20,2050769509,2050769509,华南,广东,深圳市,运输仓储
主板,深圳市天健(集团)股份有限公司,广东省深圳市福田区红荔西路莲花街道7019号天健商务大厦19楼,90,天健集团,1999/7/21,1868545434,1868287589,华南,广东,深圳市,建筑业
主板,深圳市广聚能源股份有限公司,广东省深圳市南山区海德三道天利中央商务广场22楼,96,广聚能源,2000/7/24,528000000,510848000,华南,广东,深圳市,批发零售
主板,中信海洋直升机股份有限公司,广东省深圳市罗湖区解放西路188号,99,中信海直,2000/7/31,606070420,606070420,华南,广东,深圳市,运输仓储
主板,TCL科技集团股份有限公司,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,100,TCL科技,2004/1/30,14030788362,12656210284,华南,广东,惠州市,制造业
主板,宜华健康医疗股份有限公司,广东省汕头市澄海区文冠路北侧,150,宜华健康,2000/8/7,877697557,805990242,华南,广东,汕头市,卫生
主板,中成进出口股份有限公司,北京市丰台区南四环西路188号二区8号楼,151,中成股份,2000/9/6,295980000,266543967,华北,北京,北京市,批发零售
主板,安徽丰原药业股份有限公司,安徽省无为县北门外大街108号,153,丰原药业,2000/9/20,312141230,311977230,华东,安徽,芜湖市,制造业
主板,四川省新能源动力股份有限公司,四川省成都市青白江区大弯镇团结路311号,155,川能动力,2000/9/26,1270000000,1270000000,西南,四川,成都市,水电煤气
主板,华数传媒控股股份有限公司,浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,156,华数传媒,2000/9/6,1433351902,1280295337,华东,浙江,杭州市,文化传播
主板,中联重科股份有限公司,湖南省长沙市银盆南路361号,157,中联重科,2000/10/12,6544676264,6470810823,华中,湖南,长沙市,制造业
主板,石家庄常山北明科技股份有限公司,河北省石家庄市和平东路183号,158,常山北明,2000/7/24,1598616721,1573483915,华北,河北,石家庄市,信息技术
主板,新疆国际实业股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际9楼,159,国际实业,2000/9/26,480685993,480651118,西北,新疆,乌鲁木齐市,批发零售
主板,申万宏源集团股份有限公司,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,166,申万宏源,2015/1/26,22535944560,22535507316,西北,新疆,乌鲁木齐市,金融业
主板,江苏东方盛虹股份有限公司,江苏省苏州市吴江区盛泽镇市场东路73号,301,东方盛虹,2000/5/29,4834863866,1260827682,华东,江苏,苏州市,制造业
主板,美的集团股份有限公司,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,333,美的集团,2013/9/18,7029556437,6846708806,华南,广东,佛山市,制造业
主板,潍柴动力股份有限公司,山东省潍坊市高新技术产业开发区福寿东街197号甲,338,潍柴动力,2007/4/30,5990833895,4244315825,华东,山东,潍坊市,制造业
主板,许继电气股份有限公司,河南省许昌市许继大道1298号,400,许继电气,1997/4/18,1008327309,1008270140,华中,河南,许昌市,制造业
主板,唐山冀东水泥股份有限公司,河北省唐山市丰润区林荫路,401,冀东水泥,1996/6/14,1347522914,1347207180,华北,河北,唐山市,制造业
主板,金融街控股股份有限公司,北京市西城区金城坊街7号,402,金 融 街,1996/6/26,2988929907,2987636046,华北,北京,北京市,房地产
主板,南方双林生物制药股份有限公司,山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,403,双林生物,1996/6/28,492434666,487162900,华北,山西,太原市,制造业
主板,长虹华意压缩机股份有限公司,江西省景德镇市高新区长虹大道1号,404,长虹华意,1996/6/19,695995979,694652798,华东,江西,景德镇市,制造业
主板,山东胜利股份有限公司,山东省济南市高新区港兴三路北段济南药谷1号楼B座32层,407,胜利股份,1996/7/3,880084656,875743830,华东,山东,济南市,水电煤气
主板,藏格控股股份有限公司,青海省格尔木市昆仑南路15-02号,408,*ST藏格,1996/6/28,1993779522,473486160,西北,青海,格尔木市,制造业
主板,山东地矿股份有限公司,山东省济南市工业南路57-1号高新万达J3写字楼19层1910室,409,ST地矿,1996/6/27,510931158,405631244,华东,山东,济南市,综合
主板,沈阳机床股份有限公司,辽宁省沈阳经济技术开发区开发大路17甲1号,410,*ST沈机,1996/7/18,1684035944,1680914444,东北,辽宁,沈阳市,制造业
